ID,Titel,Beschreibung,Status,Priorität,ObjektID,ErstelltAm,FälligAm,Kategorie,Budget,Ausgegeben
1,Heizungsanlage Wartung,Jährliche Wartung der Heizungsanlage inklusive Reinigung und Funktionsprüfung aller Komponenten.,pending,high,1,2025-05-15,2025-06-30,Heizung,800,0
2,Dachrinnen reinigen,Reinigung aller Dachrinnen und Überprüfung auf Beschädigungen.,in-progress,medium,1,2025-05-20,2025-06-15,Dach,350,150
3,Fassadenanstrich erneuern,Komplette Erneuerung des Fassadenanstrichs nach Witterungsschäden.,pending,medium,2,2025-05-25,2025-08-15,Fassade,5000,0
4,Austausch defekter Heizkörper,Austausch von 3 defekten Heizkörpern in Wohnung 4.,completed,high,3,2025-04-10,2025-05-15,Heizung,1200,1150
5,Reparatur Wasserschaden,Reparatur eines Wasserschadens im Badezimmer der Wohnung 2.,in-progress,critical,2,2025-06-01,2025-06-10,Sanitär,2500,1200
6,Gartenpflege und Baumschnitt,Regelmäßige Gartenpflege und Rückschnitt der Bäume im Außenbereich.,pending,low,3,2025-05-28,2025-07-15,Außenanlagen,600,0
7,Erneuerung der Eingangstür,Austausch der beschädigten Hauseingangstür inklusive neuer Schließanlage.,pending,medium,1,2025-06-02,2025-07-10,Sicherheit,1800,0
8,Aufzugwartung,Regelmäßige Wartung und Sicherheitsüberprüfung des Aufzugs.,pending,high,2,2025-06-03,2025-06-20,Technik,950,0
9,Treppenhausreinigung,Grundreinigung des Treppenhauses inklusive Fenster und Geländer.,in-progress,low,3,2025-05-30,2025-06-25,Reinigung,450,200
10,Erneuerung der Briefkastenanlage,Austausch der veralteten Briefkastenanlage im Eingangsbereich.,pending,low,1,2025-06-04,2025-08-01,Sonstiges,1200,0
11,Reparatur Tiefgaragentor,Reparatur des defekten Tiefgaragentors nach Unfallschaden.,in-progress,high,2,2025-06-02,2025-06-12,Technik,1600,800
12,Überprüfung Brandschutzeinrichtungen,Jährliche Überprüfung aller Brandschutzeinrichtungen und Rauchmelder.,pending,critical,3,2025-06-05,2025-06-25,Sicherheit,750,0
13,Sanierung Kellerräume,Beseitigung von Feuchtigkeitsschäden in den Kellerräumen.,pending,medium,1,2025-06-03,2025-09-15,Sanierung,3500,0
