Abfragetyp,Beispielabfrage,Erwartetes Ergebnis,Tatsächliches Ergebnis,Bewertung (1-5),Anmerkungen/Verbesserungsvorschläge
Rückstand eines Mieters,Wie hoch ist der Rückstand von Mieter Müller im April?,350 €,350 €,5,
Mahnstufen-Übersicht,Zeige mir eine Übersicht der Rückstände nach Mahnstufe,"3 Mieter auf Stufe 1, 2 auf Stufe 2","3 Mieter auf Stufe 1, 2 auf Stufe 2",5,
Historische Entwicklung,Wie hat sich der Rückstand von Mieter Schmidt in den letzten 6 Monaten entwickelt?,Abnahme von 600 € auf 0 €,Abnahme von 600 € auf 50 €,4,Letzter Monat scheint nicht berücksichtigt worden zu sein
Rückstand nach Zeitraum,Zeige alle Rückstände im Juni,"4 Mieter mit Rückständen, insgesamt 1.200 €","4 Mieter mit Rückständen, insgesamt 1.150 €",4,"Summe leicht abweichend, Prüfung erforderlich"
Rückstand mit Teilzahlungen,Wie wurde die Teilzahlung von Mieter Weber im Mai verrechnet?,FIFO: auf ältesten offenen Betrag von 300 €,Verrechnung korrekt mit ältester Schuld,5,
Zusammenfassung Rückstände,Gib mir eine Gesamtsumme aller offenen Rückstände,5.200 €,5.200 €,5,
Mehrparameterabfrage,Wie hoch ist der Rückstand von Mieter Maier im Mai auf Mahnstufe 2?,250 €,250 €,5,
Verzugsdauer,Welche Mieter haben Rückstände über 60 Tage?,2 Mieter: Müller und Schmidt,2 Mieter: Müller und Schmidt,5,
Warnhinweis auf veraltete Daten,Wie hoch ist der Rückstand von Mieter Schulz im April?,"System meldet, dass April-Daten älter als 90 Tage sind",System meldet keine Warnung,3,Warnlogik für veraltete Daten prüfen
Vergleich zweier Mieter,Wer hatte im Mai mehr Rückstände: Müller oder Schulz?,"Müller: 400 €, Schulz: 300 € → Müller","Richtiger Vergleich, korrekte Antwort",5,
