AnfrageID,ObjektID,Typ,Beschreibung,Status,Prioritaet,Erstellt,Bearbeitet,Kosten,Handwerker,Kategorie,Mieter_gemeldet
W-2024-001,1,Heizung,Heizungsausfall in Wohnung 2B,Offen,Hoch,2024-06-01,2024-06-01,0.00,Heizung Schmidt GmbH,Notfall,Ja
W-2024-002,2,Sanitär,Verstopfter Abfluss Apartment 8,In Bearbeitung,Mittel,2024-05-28,2024-05-29,150.00,Rohrreinigung Express,Standard,Ja
W-2024-003,3,Elektrik,Defekte Beleuchtung Flur 3. OG,Abgeschlossen,Niedrig,2024-05-25,2024-05-30,85.00,Elektro Weber,Standard,Nein
W-2024-004,1,Dach,Undichte Stelle nach Sturm,Offen,Hoch,2024-06-02,2024-06-02,0.00,Dachdecker Müller,Notfall,Nein
W-2024-005,4,Fenster,Defektes Fenster Wohnung EG,In Bearbeitung,Mittel,2024-05-20,2024-05-22,320.00,Fenster & Türen AG,Standard,Ja
W-2024-006,5,Aufzug,Aufzug bleibt stecken,Abgeschlossen,Hoch,2024-05-15,2024-05-16,450.00,Aufzug Service Nord,Notfall,Ja
W-2024-007,6,Tor,Automatisches Tor defekt,Offen,Mittel,2024-05-30,2024-05-30,0.00,Tor & Antrieb GmbH,Standard,Nein
W-2024-008,2,Sanitär,Tropfender Wasserhahn Apartment 15,Abgeschlossen,Niedrig,2024-05-18,2024-05-20,45.00,Sanitär Klein,Standard,Ja
W-2024-009,7,Garten,Baumschnitt erforderlich,Geplant,Niedrig,2024-05-25,2024-05-25,280.00,Garten & Landschaft,Wartung,Nein
W-2024-010,8,Heizung,Wartung Heizungsanlage,Geplant,Mittel,2024-05-22,2024-05-22,650.00,Heizung Schmidt GmbH,Wartung,Nein
W-2024-011,9,Fassade,Graffiti-Entfernung,In Bearbeitung,Niedrig,2024-05-28,2024-05-29,180.00,Reinigung Plus,Standard,Nein
W-2024-012,10,Klimaanlage,Klimaanlage Penthouse A defekt,Offen,Hoch,2024-06-03,2024-06-03,0.00,Klima Service,Notfall,Ja
W-2024-013,3,Brandschutz,Wartung Brandmeldeanlage,Geplant,Mittel,2024-06-01,2024-06-01,380.00,Brandschutz Technik,Wartung,Nein
W-2024-014,11,Sanitär,Wasserschaden Keller,Offen,Hoch,2024-06-02,2024-06-02,0.00,Wasserschaden Soforthilfe,Notfall,Nein
W-2024-015,12,Beleuchtung,LED-Umrüstung Parkplatz,Geplant,Niedrig,2024-05-20,2024-05-20,1200.00,Elektro Weber,Modernisierung,Nein
W-2024-016,13,Fahrstuhl,Fahrstuhl-Wartung,Abgeschlossen,Mittel,2024-05-10,2024-05-12,320.00,Aufzug Service Nord,Wartung,Nein
W-2024-017,14,Internetanschluss,WLAN-Verstärker defekt,In Bearbeitung,Mittel,2024-05-29,2024-05-30,95.00,IT-Service,Standard,Ja
W-2024-018,15,Sicherheit,Kameraanlage Wartung,Geplant,Niedrig,2024-06-05,2024-06-05,250.00,Sicherheitstechnik,Wartung,Nein
W-2024-019,1,Sanitär,Duschkabine Wohnung 1A undicht,Offen,Mittel,2024-06-04,2024-06-04,0.00,Sanitär Klein,Standard,Ja
W-2024-020,2,Elektrik,Sicherungskasten Apartment 12,In Bearbeitung,Hoch,2024-06-01,2024-06-02,280.00,Elektro Weber,Standard,Nein

