Einheit,Mieter,Kontakt,Laufzeit_Start,Laufzeit_Ende,Kuendigungsfrist,Optionen,Flaeche_qm,Kaltmiete,Stellplaetze,Stellplatz_Kosten,Sonstige_ME,NK,USt,Gesamtmiete,Kaution,Kaltmiete_pro_qm,NK_pro_qm,Erhoehung_Datum,Letzte_Miete,Art_Erhoehung,Klausel_Prozent,Abrechnungszeitraum,Sonstiges
EH 01,Linde Klavierwerkstatt,mail@linde-klavier.de,01.10.2021,30.09.2027,12 Monate,2 x um jeweils 2 Jahre,235.08,2200.00,1,0,33.00,300.00,481.27,2981.27,5474.00,9.36,1.28,02.07.2024,2000.00,Indexierung,5.00,Ganzjährig,1 KFZ kostenlos/ SE: Lager
EH 02,Brigitte Biedermann Consulting GmbH,info@manufaktur-mannheim.de,01.04.2021,31.12.2029,12 Monate,1 x Optionsrecht um 5 Jahre,1395.4,10540.30,0,0.00,0.00,2850.00,2544.16,15934.46,0.00,7.55,2.04,01.01.2023,9270.00,Staffelmiete,0,Ganzjährig,9500€ Innenfläche 1040.30€ Außenfläche
EH 03,Brigitte Biedermann Consulting GmbH,info@manufaktur-mannheim.de,01.03.2022,,6 Monate,,506,6000.00,0,0.00,0.00,800.00,1292.00,8092.00,0.00,11.86,1.58,01.01.2023,5500.00,Staffelmiete,0,Ganzjährig,März 2022 mietfrei
EH 04,Graf Holding GmbH,viktoria.graf@koenigswege.com,01.03.2022,28.02.2027,,4x um jeweils 2 Jahre,358,4762.52,0,0.00,0.00,400.00,980.88,5162.52,8592.00,13.30,1.12,01.07.2024,4416.00,Indexierung,3.00,Ganzjährig,20€ Werbeplakat 100€ für 2 KFZ
EH 05,Presenta Nova,o.tolic@presenta-nova.de,01.10.2016,30.09.2027,12 Monate,4x um jeweils 2 Jahre,214,2339.87,1,45.00,110.00,330.00,528.18,3198.05,6000.00,10.93,1.54,02.07.2024,2282.80,Indexierung,2.50,Ganzjährig,Lagerraum 100€ zzgl. MwSt.
EH 06,Brigitte Biedermann Consulting GmbH,info@manufaktur-mannheim.de,01.07.2023,,6 Monate,,508,5919.00,0,0.00,0.00,800.00,1276.61,7995.61,0.00,11.65,1.57,,,,,Ganzjährig,
EH 07,Brigitte Biedermann Consulting GmbH,info@manufaktur-mannheim.de,01.04.2023,31.03.2026,5 Monate,7 x 1 Jahr,142,1420.00,1,70.00,0,300.00,326.80,2130.10,0.00,10.00,2.11,,,3.00,Ganzjährig,2 PKW a 35€
EH 10,Birds Group,ch.hiss@gmx.de,01.10.2020,,6 Monate,,130,450.00,0,0.00,0.00,50.00,95.00,595.00,0.00,6.15,0.77,,,,,Ganzjährig,
EH 10,Manigoo,info@manigoo.de,01.10.2016,30.09.2026,12 Monate,Jährliche Verlängerung,57,350.00,0,0.00,0.00,50.00,76.00,476.00,0.00,6.15,0.77,,,,,Pauschal,
EH 11,PressPlay Mahmuti und Simon GbR,bujar@pressplay.world,01.09.2020,31.08.2030,12 Monate,5 Jahre,120,900.00,0,0.00,0.00,144.00,198.36,1242.36,0.00,7.50,0.77,01.09.2022,816.00,Erhöhung,0,Ganzjährig,
EH 12,Quoka GmbH,thomas.brueckmann@quoka.net,01.05.2022,31.12.2023,6 Monate,4x um jeweils 2 Jahre,515,5654.95,4,200.00,0.00,850.00,1235.94,7740.89,10300.00,10.98,1.65,,,5.00,Ganzjährig,200€ für 4 Stellplätze
EH 13,Primero Innovations GmbH,thomas.noky@primero-innovations.de,01.04.2022,,6 Monate,,137,1755.00,2,100.00,0.00,250.00,380.95,2485.95,3270.00,12.81,1.82,,,2.00,Ganzjährig,100€ 2 KFZ SP 20€ Werbefläche
EH 14,Chemovator GmbH,info@chemovator.com,17.05.2018,30.04.2027,12 Monate,ab 21: 3 x um jeweils 3 Jahre,883.46,10594.23,15,585.00,50.00,2000.00,2402.40,15631.63,0.00,11.99,2.26,07.06.2024,9876.33,Indexierung,2.00,Ganzjährig,600€ für 15 KFZ
EH 15,Haakon Becker,haakonbecker@t-online.de,01.08.2019,,9 Monate,jeweils um 1 Jahr,377.4,1986.45,1,35.00,0.00,450.00,462.93,2934.38,0.00,5.26,1.19,01.01.2024,1886.45,Staffelmiete,0,Ganzjährig,35€ für 1 KFZ
EH 16,Fin.Co GbR,info@tsfinance.de,01.07.2023,30.06.2028,,,420,5177.00,0,355.00,0.00,1000.00,1173.63,7705.63,15500.00,12.33,2.38,,,3.00,Ganzjährig,25€ Werbetafel
EH 17,Lumix Solar GmbH,info@lamilux.solar,01.04.2023,31.03.2026,6 Monate,7 x 1 Jahr,460,5758.75,0,150.00,0.00,800.00,1246.16,7954.91,12000.00,12.52,1.74,,,3.00,Ganzjährig,3 PKW a 50€
EH 18,Celal Ucar,info@groove68.com,01.01.2020,31.10.2025,6 Monate,,164.01,1704.33,1,0.00,0.00,247.50,370.85,2322.68,4000.00,10.39,1.51,04.07.2024,1432.50,Indexierung,2.00,Ganzjährig,30€ für 1 KFZ
EH 19,Kathrin Schwenk Design,info@raumkunst-2010.com,01.07.2012,,3 Monate,,100,515.00,0,0.00,0.00,0.00,97.85,612.85,0.00,5.15,0.00,,,,,Pauschal,

