id,command,action,context,parameters,response,active
cmd_show_dashboard,zeige dashboard,navigate,global,/dashboard,Ich öffne das Dashboard.,true
cmd_show_owners,zeige eigentümer,navigate,global,/eigentuemer,Ich zeige dir die Eigentümer-Übersicht.,true
cmd_show_contracts,zeige verträge,navigate,global,/vertraege,Ich öffne die Verträge-Übersicht.,true
cmd_show_maintenance,zeige wartungsmanager,navigate,global,/wartungsmanager,Ich öffne den Wartungsmanager.,true
cmd_show_clara_ai,zeige clara assistent,navigate,global,/clara-ai,Ich öffne den Clara KI-Assistenten.,true
cmd_show_owner_details,zeige details zu eigentümer {name},openOwnerDetails,eigentuemer,name,Ich zeige dir die Details zu Eigentümer {name}.,true
cmd_show_property_details,zeige details zu objekt {address},openPropertyDetails,eigentuemer,address,Ich zeige dir die Details zum Objekt {address}.,true
cmd_show_contract_details,zeige details zu vertrag {id},openContractDetails,vertraege,id,Ich zeige dir die Details zum Vertrag {id}.,true
cmd_filter_contracts,filtere verträge nach {status},filterContracts,vertraege,status,Ich filtere die Verträge nach Status {status}.,true
cmd_filter_owners,filtere eigentümer nach {property},filterOwners,eigentuemer,property,Ich filtere die Eigentümer nach Objekt {property}.,true
cmd_search,suche nach {term},search,global,term,Ich suche nach {term}.,true
cmd_export_data,exportiere daten,exportData,global,,Ich exportiere die aktuellen Daten.,true
cmd_create_report,erstelle bericht für {owner},createReport,eigentuemer,owner,Ich erstelle einen Bericht für {owner}.,true
cmd_analyze_cashflow,analysiere cashflow für {property},analyzeCashflow,dashboard,property,Ich analysiere den Cashflow für {property}.,true
cmd_show_maintenance_tasks,zeige wartungsaufgaben für {property},showMaintenanceTasks,wartungsmanager,property,Ich zeige dir die Wartungsaufgaben für {property}.,true
cmd_add_maintenance_task,erstelle neue wartungsaufgabe für {property},addMaintenanceTask,wartungsmanager,property,Ich erstelle eine neue Wartungsaufgabe für {property}.,true
cmd_show_critical_tasks,zeige kritische aufgaben,showCriticalTasks,wartungsmanager,,Ich zeige dir alle kritischen Wartungsaufgaben.,true
cmd_show_overdue_payments,zeige überfällige zahlungen,showOverduePayments,vertraege,,Ich zeige dir alle überfälligen Zahlungen.,true
cmd_calculate_roi,berechne roi für {property},calculateROI,dashboard,property,Ich berechne den ROI für {property}.,true
cmd_summarize_portfolio,fasse portfolio zusammen,summarizePortfolio,eigentuemer,,Ich fasse das gesamte Portfolio zusammen.,true
cmd_show_rental_income,zeige mieteinnahmen für {period},showRentalIncome,dashboard,period,Ich zeige dir die Mieteinnahmen für {period}.,true
cmd_show_maintenance_costs,zeige wartungskosten für {period},showMaintenanceCosts,dashboard,period,Ich zeige dir die Wartungskosten für {period}.,true
cmd_compare_properties,vergleiche objekte {property1} und {property2},compareProperties,eigentuemer,"property1,property2",Ich vergleiche die Objekte {property1} und {property2}.,true
cmd_help,hilfe,showHelp,global,,Hier sind die verfügbaren Sprachbefehle.,true
cmd_close_dialog,schließe dialog,closeDialog,global,,Ich schließe den Dialog.,true

